ὁ	ὁ, ἡ, τό	the 
ὄφελον	ὄφελον	would that (used to express a fruitless wish)
ὀψώνιον	ὀψώνιον, -ου, τό	compensation, wages
παλαιόω	παλαιόω	to make or become old, obsolete
παρακολουθέω	παρακολουθέω	to follow closely, investigate, accompany
παραμένω	παραμένω	to remain beside, continue, abide
παραμυθέομαι	παραμυθέομαι	to encourge, comfort, console
παρασκευάζω	παρασκευάζω	to prepare, make ready
παραφέρω	παραφέρω	to carry away, remove
παραχειμάζω	παραχειμάζω	to winter
πάροικος	πάροικος, -ου, ὁ	an alien, stranger
πατριάρχης	πατριάρχης, -ου, ὁ	a patriarch
πειθαρχέω	πειθαρχέω	to obey authority
πέμπτος	πέμπτος, -η, -ον	fifth
πέρας	πέρας, -ατος, τό	a limit, end, boundary
περιΐστημι	περιΐστημι	to stand around, avoid, shun
περισσεία	περισσεία, -ας, ἡ	superfluity, surplus, abundance
περισσῶς	περισσῶς	abundantly, exceedingly, beyond measure
πετρώδης	πετρώδης	rocky, stony
πῆχυς	πῆχυς, -εως, ὁ	a cubit
πικραίνω	πικραίνω	to make bitter, embitter
πικρία	πικρία, -ας, ἡ	bitterness
πλάτος	πλάτος, -ους, τό	breadth, width
πλεονέκτης	πλεονέκτης, -ου, ὁ	a covetous or greedy person
πληροφορία	πληροφορία, -ας, ἡ	full assurance, certainty
πλουσίως	πλουσίως	richly, abundantly
πολίτης	πολίτης, -ου, ὁ	a citizen
πόνος	πόνος, -ου, ὁ	labor, toil, pain
πόρρω	πόρρω	far (away)
πορφύρα	πορφύρα, -ας, ἡ	purple (cloth)
πορφυροῦς	πορφυροῦς, -ᾶ, -οῦν	purple
πού	πού	somewhere, about, approximately
πραΰς	πραΰς, -πραεῖα, -πραΰ	gentle
προγράφω	προγράφω	to write before
προοράω	προοράω	to see before, foresee
προσάγω	προσάγω	to bring (forward), approach
προσήλυτος	προσήλυτος, -ου, ὁ	a proselyte, convert
πρόσκαιρος	πρόσκαιρος, -ον	temporary, passing, transitory
προσωπολημψία	προσωπολημψία, -ας, ἡ	respect of persons, partiality, personal favoritism
πρωτοκαθεδρία	πρωτοκαθεδρία, -ας, ἡ	the chief seat, seat of honor
πύργος	πύργος, -ου, ὁ	a tower
ῥαντίζω	ῥαντίζω	to sprinkle, cleanse, purify
ρ`ύμη	ῥύμη, -ης, ἡ	a narrow street, lane, alley
σάκκος	σάκκος, -ου, ὁ	sackcloth
σάρκινος	σάρκινος, -η, -ον	of the flesh, fleshly
σάρρα	Σάρρα, -ας, ἡ	Sarah
σεμνός	σεμνός, -ή, -όν	venerable, serious, honorable, dignified
σιλουανός	Σιλουανός, -οῦ, ὁ	Silvanus
σινᾶ	Σινᾶ	Sinai
σκολιός	σκολιός, -ά, -όν	crooked, unscrupulous, perverse
σκύλλω	σκύλλω	to trouble, bother, annoy
σμύρνα	σμύρνα, -ης, ἡ	Smyrna
σουδάριον	σουδάριον, -ου, τό	a face cloth, handkerchief, cloth
σπουδαίως	σπουδαίως	with haste, diligently, eagerly
στέγω	στέγω	to endure, bear
στενοχωρία	στενοχωρία, -ας, ἡ	difficulty, distress, anguish
στερεός	στερεός, -ά, -όν	hard, firm, solid
στοά	στοά, -ᾶς, ἡ	a portico
στρουθίον	στρουθίον, -ου, τό	a sparrow
στῦλος	στῦλος, -ου, ὁ	a pillar
συγκλείω	συγκλείω	to shut, enclose, confine
συγκληρονόμος	συγκληρονόμος, -ον	a fellow heir
συγκοινωνός	συγκοινωνός, -οῦ, ὁ	partaker, participant, partner
σῦκον	σῦκον, -ου, τό	a fig
συμβουλεύω	συμβουλεύω	to plot, advise
συμπαραλαμβάνω	συμπαραλαμβάνω	to take along with
συμπορεύομαι	συμπορεύομαι	to come together, go (along) with
συναρπάζω	συναρπάζω	to seize, drag away
σύνδεσμος	σύνδεσμος, -ου, ὁ	a bond, fetter
συνετός	συνετός, -ή, -όν	intelligent, clever, wise
σωτήριον	σωτήριος, -ον	bringing salvation
σώφρων	σώφρων, -ον	self-controlled, sensible, prudent
ταμεῖον	ταμεῖον, -ου, τό	inner room, storeroom
ταπείνωσις	ταπείνωσις, -εως, ἡ	humiliation, humble state
ταῦρος	ταῦρος, -ου, ὁ	a bull, ox
τετραάρχης	τετραάρχης, -ου, ὁ	a tetrarch
τετρακόσιοι	τετρακόσιοι, -αι, -α	four hundred
τεχνίτης	τεχνίτης, -ου, ὁ	a craftsman, artisan, designer
τηλικοῦτος	τηλικοῦτος, -αύτη, -οῦτο	so great, so large
τράγος	τράγος, -ου, ὁ	a male goat
ὑμνέω	ὑμνέω	to sing to, to praise
ὑπερῷον	ὑπερῷον, -ου, τό	upper story, room upstairs
ὑποδέχομαι	ὑποδέχομαι	to welcome, receive, entertain as a guest
ὑποστέλλω	ὑποστέλλω	to draw back, withdraw, shrink back
ὑποταγή	ὑποταγή, -ῆς, ἡ	subjection, obedience
φάτνη	φάτνη, -ης, ἡ	a manger, stall
φίλιπποι	Φίλιπποι, -ων, ὁ	Philippi
φραγμός	φραγμός, -οῦ, ὁ	a wall, fence, hedge, partition
φρόνημα	φρόνημα, -τος, τό	a mind set, way of thinking
φρουρέω	φρουρέω	to guard, protect
χάλαζα	χάλαζα, -ης, ἡ	hailstone
χλωρός	χλωρός, -ά, -όν	pale green, pale
χοϊκός	χοϊκός, -ή, -όν	made of earth or dust, earthy
ψηλαφάω	ψηλαφάω	to feel or grope around, to touch, handle
ψυχρός	ψυχρός, -ά, -όν	cold
ψωμίον	ψωμίον, -ου, τό	a fragment, morsel, small piece of bread
ὠδίν	ὠδίν, -ῖνος, ἡ	a birth pang, agony
ὡραῖος	ὡραῖος, -α, -ον	beautiful, fair, lovely
ὠφέλιμος	ὠφέλιμος, -ον	useful, profitable
ἀββά	ἀββά, ὁ	Abba, father
ἀβιά	Ἀβιά, ὁ	Abijah
ἀγγαρεύω	ἀγγαρεύω	to compel, press into service
ἁγιωσύνη	ἁγιωσύνη, -ης, ἡ	holiness
ἄγριος	ἄγριος, -α, -ον	wild, savage
ἀδημονέω	ἀδημονέω	to be distressed, troubled
ἀδίκημα	ἀδίκημα, -τος, τό	a wrong, injury, misdeed
ἀθανασία	ἀθανασία, -ας, ἡ	immortality
αἱρέω	αἱρέομαι	to take, choose
αἴτημα	αἴτημα, -τος, τό	a request
αἰχμαλωσία	αἰχμαλωσία, -ας, ἡ	captivity, host of captives
ἀκέραιος	ἀκέραιος, -ον	unmixed, pure, innocent
ἀκυρόω	ἀκυρόω	to revoke, invalidate
ἄλαλος	ἄλαλος, -ον	dumb, mute, speechless
ἅλλομαι	ἅλλομαι	to leap, spring up
ἀλοάω	ἀλοάω	to thresh
ἄλογος	ἄλογος, -ον	without reason, absurd
ἄλφα	ἄλφα, τό	Alpha
ἀλώπηξ	ἀλώπηξ, -εκος, ἡ	a fox
ἀμιναδάβ	Ἀμιναδάβ, ὁ	Amminadab
ἀμφιέννυμι	ἀμφιέννυμι	to clothe, dress
ἀμώς	Ἀμώς, ὁ	Amos
ἀνάγνωσις	ἀνάγνωσις, -εως, ἡ	reading
ἀναζητέω	ἀναζητέω	to look, search
ἀναστατόω	ἀναστατόω	to stir up, disturb, upset
ἀνατρέπω	ἀνατρέπω	to overturn, upset, destroy
ἀνατρέφω	ἀνατρέφω	to nurture, care for, bring up
ἀνεπίλημπτος	ἀνεπίλημπτος, -ον	without reproach, above reproach
ἀνέρχομαι	ἀνέρχομαι	to go up
ἄνευ	ἄνευ	without (gen)
ἀνήκω	ἀνήκω	to be fit, be proper
ἀνθρωποκτόνος	ἀνθρωποκτόνος, -ου, ὁ	a murderer
ἀνορθόω	ἀνορθόω	to restore, strengthen, rebuild
ἀντιλαμβάνομαι	ἀντιλαμβάνομαι	to help, take part in
ἀπαίρω	ἀπαίρω	to take away, depart
ἀπαλλάσσω	ἀπαλλάσσω	to leave, deliver, settle
ἀπαλλοτριόω	ἀπαλλοτριόομαι	to alienate, estrange
ἀπάντησις	ἀπάντησις, -εως, ἡ	a meeting
ἀπατάω	ἀπατάω	to deceive
ἀπειλή	ἀπειλή, -ῆς, ἡ	a threat
ἀποκαταλλάσσω	ἀποκαταλλάσσω	to reconcile
ἀπόκρυφος	ἀπόκρυφος, -ον	hidden, secret
ἀποστάσιον	ἀποστάσιον, -ου, τό	certificate of divorce
ἀποσυνάγωγος	ἀποσυνάγωγος, -ον	expelled from the congregation, synagogue
ἀποφεύγω	ἀποφεύγω	to escape, escape from
ἀποφθέγγομαι	ἀποφθέγγομαι	to declare, utter
ἀποχωρέω	ἀποχωρέω	to go away, depart, leave
ἀπρόσκοπος	ἀπρόσκοπος, -ον	blameless, giving no offense
ἆρα	ἆρα	an untranslatable interrog. particle implying anxiety or impatience.
ἀργυροῦς	ἀργυροῦς, -α, -'	silver
ἀριθμέω	ἀριθμέω	to number, count
ἀριστάω	ἀριστάω	to have breakfast, eat a meal
ἄριστον	ἄριστον, -ου, τό	breakfast, dinner
ἀρκετός	ἀρκετός, -ή, -όν	sufficient, enough, adequate
ἀροτριάω	ἀροτριάω	to plow
ἁρπαγή	ἁρπαγή, -ῆς, ἡ	plunder, robbery
ἀρραβών	ἀρραβών, -ῶνος, ὁ	an earnest, pledge, deposit
ἀρτύω	ἀρτύω	to season, make salty
ἀρχιτρίκλινος	ἀρχιτρίκλινος, -ου, ὁ	headwaiter, butler
ἄσβεστος	ἄσβεστος, -ον	unquenchable
ἀστοχέω	ἀστοχέω	to miss the mark, go astray
ἀσφάλεια	ἀσφάλεια, -ας, ἡ	certainty, security, safety, truth
ἀσφαλῶς	ἀσφαλῶς	safely, securely, certainly
ἀσωτία	ἀσωτία, -ας, ἡ	dissipation, debauchery, profligacy
αὐλέω	αὐλέω	to play a flute
ἄφνω	ἄφνω	suddenly
ἀχειροποίητος	ἀχειροποίητος, -ον	not made with hands
βαλαάμ	Βαλαάμ, ὁ	Balaam
βάσανος	βάσανος, -ου, ἡ	(an examination by) torture, torment, pain
βερνίκη	Βερνίκη, -ης, ἡ	Bernice
βηθφαγή	Βηθφαγή, ἡ	Bethphage
βία	βία, -ας, ἡ	strength, force, violence
βιβλαρίδιον	βιβλαρίδιον, -ου, τό	a little book
βιωτικός	βιωτικός, -ή, -όν	a matter of (daily) life, life
βόες	Βόες, ὁ	Boaz
βόθυνος	βόθυνος, -ου, ὁ	a pit
βούλημα	βούλημα, -τος, τό	purpose, will, intention, desire
βραδύς	βραδύς, -εῖα, -ύ	slow
βραχίων	βραχίων, -ονος, ὁ	the arm
βυρσεύς	βυρσεύς, -έως, ὁ	a tanner
γαλήνη	γαλήνη, -ης, ἡ	a calm
γαλλίων	Γαλλίων, -ωνος, ὁ	Gallio
γερασηνός	Γερασηνός, -ή, -όν	a Gerasene
γολγοθᾶ	Γολγοθᾶ	Golgotha
γόμος	γόμος, -ου, ὁ	cargo, freight
γυμνότης	γυμνότης, -ητος, ἡ	nakedness, exposure, destitution
δειλός	δειλός, -ή, -όν	cowardly, timid
δεκαπέντε	δεκαπέντε	fifteen
δεκάπολις	Δεκάπολις, -εως, ἡ	Decapolis
δελεάζω	δελεάζω	to lure, entice
δέρβη	Δέρβη, -ης, ἡ	Derbe
δεσμεύω	δεσμεύω	to bind together, to tie up (in a bundle)
δεσμοφύλαξ	δεσμοφύλαξ, -ακος, ὁ	a prison keeper, jailer
δῆλος	δῆλος, -η, -ον	clear, evident, plain
δημᾶς	Δημᾶς, -ᾶ, ὁ	Demas
δημήτριος	Δημήτριος, -ου, ὁ	Demetrius
διαβαίνω	διαβαίνω	to go through, cross
διαβλέπω	διαβλέπω	to see clearly, look intently
διαγγέλλω	διαγγέλλω	to publish abroad, proclaim
διαγίνομαι	διαγίνομαι	to go through, pass, elapse
διάδημα	διάδημα, -τος, τό	a diadem, crown
διαζώννυμι	διαζώννυμι	to gird about, put on
διαίρεσις	διαίρεσις, -εως, ἡ	a division, variety
διάκρισις	διάκρισις, -εως, ἡ	the act of passing judgment, distinguishing
διαρπάζω	διαρπάζω	to plunder
διασπείρω	διασπείρω	to scatter
διασπορά	διασπορά, -ᾶς, ἡ	diaspora, a dispersion 
διαστολή	διαστολή, -ῆς, ἡ	a difference, distinction
διαφημίζω	διαφημίζω	to spread abroad
διδακτός	διδακτός, -ή, -όν	instructed, taught
δίδυμος	Δίδυμος, -ου, ὁ	Didymus
διΐστημι	διΐστημι	to pass, part, go away
δίκη	δίκη, -ης, ἡ	penalty, punishment, justice
δίστομος	δίστομος, -ον	two-edged
δούλη	δούλη, -ης, ἡ	female slave, bondwoman
δραχμή	δραχμή, -ῆς, ἡ	a drachma, coin
δρόμος	δρόμος, -ου, ὁ	a course, race
δυνάστης	δυνάστης, -ου, ὁ	a ruler, a sovereign, court official
δυνατέω	δυνατέω	to be able, be powerful
δυσκόλως	δυσκόλως	with difficulty, hardly
δωρέομαι	δωρέομαι	to present, to bestow, grant
ἐάνπερ	ἐάνπερ	if only
ἑβραΐς	Ἑβραΐς, -ιδος, ἡ	the Hebrew language
ἐγγράφω	ἐγγράφω	to inscribe, write, record
ἑδραῖος	ἑδραῖος, -α, -ον	steadfast, firm
εἰλικρίνεια	εἰλικρίνεια, -ας, ἡ	sincerity, purity of motive
εἴσειμι-2	εἴσειμι	to enter, go in
ἐκδημέω	ἐκδημέω	to leave, be absent
ἐκκλάω	ἐκκλάω	to break off
ἐκκλίνω	ἐκκλίνω	to deviate, turn away, turn aside
ἐκπλέω	ἐκπλέω	to sail away
ἐκπνέω	ἐκπνέω	to breathe out, to expire
ἐκψύχω	ἐκψύχω	to expire, breathe one's last
ἐλαττόω	ἐλαττόω	to make lower, decrease, diminish
ἐλεάω	ἐλεάω	to have mercy on
ἐλιακίμ	Ἐλιακίμ, ὁ	Eliakim
ἕλκος	ἕλκος, -ους, τό	a wound, a sore, an ulcer
ἑλληνιστής	Ἑλληνιστής, -οῦ, ὁ	Hellenist, Greek
ἑνδέκατος	ἑνδέκατος, -η, -ον	eleventh
ἐνδημέω	ἐνδημέω	to be at home
ἐνεργής	ἐνεργής, -ές	effective, active, powerful
ἐνέχω	ἐνέχω	to have a grudge against, be subject to, bear ill will
ἔννυχος	ἔννυχος	by night, at night
ἔνταλμα	ἔνταλμα, -τος, τό	a precept, commandment
ἔντρομος	ἔντρομος, -ον	terrified, trembling
ἐντυλίσσω	ἐντυλίσσω	to wrap up, fold up
ἑνώχ	Ἑνώχ, ὁ	Enoch
ἐξακολουθέω	ἐξακολουθέω	to follow, imitate, obey
